0.50 0.25 0.00 6.3771391826441298E-005 NaN 0.23824565051568347 1.8194934918539754E-002	10
0.50 0.25 0.10 -4.5694140846216317E-003 8.7662244625041717E-003 0.46233258109127334 1.7176821379014304E-002	10
0.50 0.25 0.20 -1.1786790892348241E-002 7.2093193162278534E-003 0.49915057892564502 1.6761876817439542E-002	10
0.50 0.25 0.30 -1.7168989812928158E-002 6.1286246548282750E-003 0.51529545950957356 1.6559867333958696E-002	10
0.50 0.25 0.40 -2.7875264827090913E-002 6.0974766886058686E-003 0.52222186763327638 1.6388451846146072E-002	10
0.50 0.25 0.50 -3.2812991200555967E-002 6.3615490261925249E-003 0.51931624681282751 1.6343320983689961E-002	10
0.50 0.25 0.60 -4.7348154764007479E-002 6.4339648939290223E-003 0.51712333691656498 1.6312491852683686E-002	10
0.50 0.25 0.70 -6.3623088227518054E-002 7.9395892999640054E-003 0.51307512316974235 1.6433961336881187E-002	10
0.50 0.25 0.80 -7.3992429784734387E-002 8.1095563769988579E-003 0.50403999174035397 1.6446980920766897E-002	10
0.50 0.25 0.90 -6.9251438749193400E-002 6.6631608914777098E-003 0.50053592148191361 1.6563351691106013E-002	10
0.50 0.25 1.00 -0.10103143281010102 9.4856623409498991E-003 0.49341395910230529 1.6646377402423290E-002	10
0.50 0.25 1.10 -0.11308188409730800 9.6816714995227177E-003 0.48882284349192295 1.6707047235238109E-002	10
0.50 0.25 1.20 -0.15324504114578558 1.1682223154683254E-002 0.47347252050251909 1.6905615161621836E-002	10
0.50 0.25 1.30 -0.17013972676905750 1.3746309908464783E-002 0.46549378241475886 1.7101075263745623E-002	10
0.50 0.25 1.40 -0.17374133060174141 1.1117655200330949E-002 0.45927757169296496 1.7124567648209785E-002	10
0.50 0.25 1.50 -0.20338745790296681 1.2211571372691488E-002 0.45036984292991739 1.7004277554822988E-002	10
0.50 0.25 1.60 -0.23158756490590129 1.3565667128285804E-002 0.44022627674196174 1.7262960806608843E-002	10
0.50 0.25 1.70 -0.26377998519003198 1.3933791239353446E-002 0.43530929242851740 1.7406800310331542E-002	10
0.50 0.25 1.80 -0.25892458487603331 1.4142400389405216E-002 0.43705641530222106 1.7296274853687441E-002	10
0.50 0.25 1.90 -0.27710015170876418 1.5106358931198497E-002 0.43227748685734640 1.7388801612862975E-002	10
0.50 0.25 2.00 -0.25472343731849550 1.3454088193541738E-002 0.42989438506734901 1.7402551121457933E-002	10
0.50 0.25 2.10 -0.30092620166877565 1.5369993959529477E-002 0.42197001701225179 1.7519547336774206E-002	10
0.50 0.25 2.20 -0.29823827910723383 1.4632503832739820E-002 0.42291011086931651 1.7461603589598196E-002	10
0.50 0.25 2.30 -0.31640818533117332 1.5669040188680271E-002 0.42245079044086625 1.7503704028260746E-002	10
0.50 0.25 2.40 -0.32150359015550450 1.6671843217702903E-002 0.41605211324265023 1.7637723927992188E-002	10
0.50 0.25 2.50 -0.35215257752735996 1.3835698997538273E-002 0.41434274192774811 1.7551084535539156E-002	10
0.50 0.25 2.60 -0.37980259712061143 1.7806287197177209E-002 0.41111916198444093 1.7584954646119588E-002	10
0.50 0.25 2.70 -0.39431573686570043 1.5790019183209270E-002 0.41370822270677715 1.7601598265625695E-002	10
0.50 0.25 2.80 -0.39855386100011014 1.5913239877314262E-002 0.41212368505239499 1.7617104958818301E-002	10
0.50 0.25 2.90 -0.41348678534897698 1.5869307258428722E-002 0.41374932463427755 1.7677946733331347E-002	10
0.50 0.25 3.00 -0.40064391489717638 1.7200447207278150E-002 0.40860754217538153 1.7643427732895015E-002	10
0.50 0.25 3.10 -0.43490461039495898 1.7642899130963903E-002 0.40595180088532357 1.7651511569023809E-002	10
0.50 0.25 3.20 -0.45797359201760401 1.8093317691073162E-002 0.40735554103786531 1.7657329441831814E-002	10
0.50 0.25 3.30 -0.46135654447119923 1.7009267516211693E-002 0.40551702201078771 1.7622150938383267E-002	10
0.50 0.25 3.40 -0.46359294646475518 1.6517862848242304E-002 0.40205424323047395 1.7643533111548697E-002	10
0.50 0.25 3.50 -0.45598227452665480 1.8325496679695609E-002 0.40477555915764912 1.7701810410924834E-002	10
